id,ANA202207150
version,2
info,visteam,LAN
info,hometeam,ANA
info,site,ANA01
info,date,2022/07/15
info,number,0
info,starttime,6:38PM
info,daynight,night
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,blasc901
info,ump1b,cuzzp901
info,ump2b,rippm901
info,ump3b,littw901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2022/09/26 06:25:59
info,howscored,unknown
info,pitches,pitches
info,oscorer,munse701
info,temp,79
info,winddir,tocf
info,windspeed,8
info,fieldcond,unknown
info,precip,none
info,sky,sunny
info,timeofgame,181
info,attendance,44648
info,wp,kersc001
info,lp,sandp002
info,save,
start,bettm001,"Mookie Betts",0,1,9
start,turnt001,"Trea Turner",0,2,6
start,freef001,"Freddie Freeman",0,3,3
start,smitw003,"Will Smith",0,4,10
start,turnj001,"Justin Turner",0,5,5
start,albeh001,"Hanser Alberto",0,6,4
start,thomt002,"Trayce Thompson",0,7,8
start,barna001,"Austin Barnes",0,8,2
start,lux-g001,"Gavin Lux",0,9,7
start,kersc001,"Clayton Kershaw",0,0,1
start,stefm001,"Michael Stefanic",1,1,4
start,ohtas001,"Shohei Ohtani",1,2,10
start,wardt002,"Taylor Ward",1,3,8
start,rengl001,"Luis Rengifo",1,4,6
start,adelj001,"Jo Adell",1,5,9
start,walsj001,"Jared Walsh",1,6,3
start,villj001,"Jonathan Villar",1,7,5
start,suzuk001,"Kurt Suzuki",1,8,2
start,marsb002,"Brandon Marsh",1,9,7
start,sandp002,"Patrick Sandoval",1,0,1
play,1,0,bettm001,30,BBBB,W
play,1,0,turnt001,22,CCFB1BX,S8/L8.1-2
play,1,0,freef001,21,SBBX,S9/L89S+.2-H;1-2
play,1,0,smitw003,01,CX,S8/L8S.2-3;1-2
play,1,0,turnj001,10,BX,43/G4.3-H;2-3;1-2
play,1,0,albeh001,22,SFBBX,FC/G56/DP.3XH(5);BX1(53)
play,1,1,stefm001,22,CBSBFX,13/G15
play,1,1,ohtas001,12,SCBC,K
play,1,1,wardt002,00,X,8/F8XD+
play,2,0,thomt002,21,SBBX,S7/G56
play,2,0,barna001,32,BSC*BBB,W.1-2
play,2,0,lux-g001,12,*BFCFFS,K
play,2,0,bettm001,02,FFS,K
play,2,0,turnt001,01,CX,8/F78
play,2,1,rengl001,12,SCFBFX,9/F89D
play,2,1,adelj001,01,CX,53/G5
play,2,1,walsj001,12,BCFX,8/F8XD
play,3,0,freef001,11,BSX,53/G6MS
play,3,0,smitw003,32,BBFBF*B,W
play,3,0,turnj001,12,C*BSFFX,S9/L89.1-2
play,3,0,albeh001,32,BFFF*B*BFX,3/P3D
play,3,0,thomt002,11,*BCX,7/F78D+
play,3,1,villj001,22,BCSBS,K
play,3,1,suzuk001,01,CX,43/G6M
play,3,1,marsb002,32,CBBFFBS,K
play,4,0,barna001,01,FX,9/F9LD
play,4,0,lux-g001,22,CBBFX,53/G56
play,4,0,bettm001,22,BBFFC,K
play,4,1,stefm001,00,X,53/G5
play,4,1,ohtas001,02,FCX,53/G4
play,4,1,wardt002,00,X,63/G56
play,5,0,turnt001,12,BCFFFFX,43/G34
play,5,0,freef001,31,FBBBX,9/L9
play,5,0,smitw003,22,CBBFX,S6/G56
play,5,0,turnj001,00,X,S5/G56.1-2
play,5,0,albeh001,10,BX,T9/F9D.2-H;1-H
play,5,0,thomt002,00,,NP
sub,martj010,"Jose Marte",1,0,1
play,5,0,thomt002,22,.CBBFS,K
play,5,1,rengl001,00,X,13/G1
play,5,1,adelj001,02,CSX,8/L8XD+
play,5,1,walsj001,11,CBX,4/L34D+
play,6,0,barna001,32,BBFCFFBB,W
play,6,0,lux-g001,32,CBCBFBB,W.1-2
play,6,0,bettm001,02,FFX,4/P4MD
play,6,0,turnt001,30,BBBB,W.2-3;1-2
play,6,0,freef001,00,,NP
sub,warra003,"Austin Warren",1,0,1
play,6,0,freef001,00,.X,8/SF/L78D.3-H
play,6,0,smitw003,21,BC*BX,D7/L7LD+.2-H;1-3
play,6,0,turnj001,22,CBBFFFFFX,S7/L78.3-H;2-H
play,6,0,albeh001,01,FX,7/F7D
play,6,1,villj001,12,BCSFFC,K
com,"ej,villj001,P,blasc901,Called third strike"
com,"$Angels third baseman Jonathan Villar ejected by HP umpire Cory Blaser"
com,"for arguing called third strike"
play,6,1,suzuk001,00,.X,7/F7D
play,6,1,marsb002,20,BBX,43/G4M
play,7,0,thomt002,00,,NP
sub,rengl001,"Luis Rengifo",1,4,5
play,7,0,thomt002,00,.,NP
sub,velaa001,"Andrew Velazquez",1,7,6
play,7,0,thomt002,00,..,NP
sub,barrj003,"Jaime Barria",1,0,1
play,7,0,thomt002,01,...CX,S5/L56
play,7,0,barna001,12,CFBC,K
play,7,0,lux-g001,12,CBCX,9/L9
play,7,0,bettm001,01,SX,9/L9
play,7,1,stefm001,11,CBX,63/G6
play,7,1,ohtas001,12,FBCFS,K
play,7,1,wardt002,12,CBFS,K
play,8,0,turnt001,01,CX,8/L8
play,8,0,freef001,12,CCBFS,K
play,8,0,smitw003,11,CBX,T9/F89XD+
play,8,0,turnj001,31,BBBCX,S7/G25.3-H
play,8,0,albeh001,02,CFFX,8/F8D
play,8,1,rengl001,00,,NP
sub,thomt002,"Trayce Thompson",0,7,7
play,8,1,rengl001,00,.,NP
sub,bellc002,"Cody Bellinger",0,9,8
play,8,1,rengl001,21,..BFBX,D7/L7L+
play,8,1,adelj001,21,FBBX,8/F8D
play,8,1,walsj001,32,BCBF*BX,7/F78D.2-3
play,8,1,velaa001,21,B*BSX,43/G4M
play,9,0,thomt002,22,BFFBS,K
play,9,0,barna001,01,FX,53/G56
play,9,0,bellc002,12,CSBX,5/F8S
play,9,1,suzuk001,00,,NP
sub,moror001,"Reyes Moronta",0,0,1
play,9,1,suzuk001,01,.SX,6/L6+
play,9,1,marsb002,01,SX,HR/L89XD
play,9,1,stefm001,12,BFCS,K
play,9,1,ohtas001,20,BBX,53/G4+
data,er,moror001,1
data,er,kersc001,0
data,er,sandp002,4
data,er,warra003,1
data,er,martj010,3
data,er,barrj003,1
