id,ANA202205210
version,2
info,visteam,OAK
info,hometeam,ANA
info,site,ANA01
info,date,2022/05/21
info,number,0
info,starttime,6:07PM
info,daynight,night
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,rackd901
info,ump1b,barbs901
info,ump2b,ortir901
info,ump3b,vanol901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2022/09/26 06:24:52
info,howscored,unknown
info,pitches,pitches
info,oscorer,munse701
info,temp,66
info,winddir,tocf
info,windspeed,12
info,fieldcond,unknown
info,precip,none
info,sky,cloudy
info,timeofgame,192
info,attendance,39045
info,wp,lorem002
info,lp,kolaa001
info,save,igler001
start,kempt001,"Tony Kemp",0,1,4
start,neuss001,"Sheldon Neuse",0,2,5
start,lowrj001,"Jed Lowrie",0,3,10
start,brows003,"Seth Brown",0,4,3
start,laurr001,"Ramon Laureano",0,5,9
start,murps001,"Sean Murphy",0,6,2
start,barrl001,"Luis Barrera",0,7,7
start,pachc001,"Cristian Pache",0,8,8
start,allen002,"Nick Allen",0,9,6
start,montf001,"Frankie Montas",0,0,1
start,ohtas001,"Shohei Ohtani",1,1,10
start,troum001,"Mike Trout",1,2,8
start,renda001,"Anthony Rendon",1,3,5
start,walsj001,"Jared Walsh",1,4,3
start,marsb002,"Brandon Marsh",1,5,7
start,rengl001,"Luis Rengifo",1,6,4
start,wallc001,"Chad Wallach",1,7,2
start,wadet002,"Tyler Wade",1,8,9
start,velaa001,"Andrew Velazquez",1,9,6
start,lorem002,"Michael Lorenzen",1,0,1
play,1,0,kempt001,01,TX,3/G3
play,1,0,neuss001,00,X,9/F9LS
play,1,0,lowrj001,21,CBBX,7/L7D
play,1,1,ohtas001,22,FFBBFX,S5/G56
play,1,1,troum001,22,SFBB1S,K
play,1,1,renda001,01,11CX,6/L6
play,1,1,walsj001,12,FBSX,43/G34
play,2,0,brows003,00,X,63/G4
play,2,0,laurr001,11,CBH,HP
play,2,0,murps001,20,BBX,54(1)/FO/G56.B-1
play,2,0,barrl001,01,CX,43/G34
play,2,1,marsb002,12,FFFBFS,K
play,2,1,rengl001,00,X,13/L1
play,2,1,wallc001,00,,NP
id,ANA202208290
version,2
info,visteam,NYA
info,hometeam,ANA
info,site,ANA01
info,date,2022/08/29
info,number,0
info,starttime,6:38PM
info,daynight,night
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,wolcq901
info,ump1b,porta901
info,ump2b,addir901
info,ump3b,riggj901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2022/09/26 06:26:48
info,howscored,unknown
info,pitches,pitches
info,oscorer,munse701
info,temp,79
info,winddir,tolf
info,windspeed,6
info,fieldcond,unknown
info,precip,none
info,sky,sunny
info,timeofgame,180
info,attendance,44537
info,wp,suarj001
info,lp,montf001
info,save,hergj001
start,lemad001,"DJ LeMahieu",0,1,5
start,judga001,"Aaron Judge",0,2,8
start,benia002,"Andrew Benintendi",0,3,7
start,stanm004,"Giancarlo Stanton",0,4,10
start,torrg001,"Gleyber Torres",0,5,4
start,rizza001,"Anthony Rizzo",0,6,3
start,trevj001,"Jose Trevino",0,7,2
start,kinei001,"Isiah Kiner-Falefa",0,8,6
start,cabro002,"Oswaldo Cabrera",0,9,9
start,montf001,"Frankie Montas",0,0,1
start,fletd002,"David Fletcher",1,1,4
start,troum001,"Mike Trout",1,2,8
start,ohtas001,"Shohei Ohtani",1,3,10
start,rengl001,"Luis Rengifo",1,4,5
start,wardt002,"Taylor Ward",1,5,9
start,fordm002,"Mike Ford",1,6,3
start,adelj001,"Jo Adell",1,7,7
start,thaim001,"Matt Thaiss",1,8,2
start,velaa001,"Andrew Velazquez",1,9,6
start,suarj001,"Jose Suarez",1,0,1
play,1,0,lemad001,12,CFBT,K
play,1,0,judga001,11,SBX,63/G6
play,1,0,benia002,00,X,8/L8
play,1,1,fletd002,01,FX,53/G56
play,1,1,troum001,12,CBFFX,S7/L78
play,1,1,ohtas001,32,FBC*B*BX,6(1)3/GDP/G4
play,2,0,stanm004,12,FSBS,K
play,2,0,torrg001,22,CSBFBS,K
play,2,0,rizza001,22,BCCBS,K
play,2,1,rengl001,10,BX,HR/L89XD
play,2,1,wardt002,32,BBBCCX,63/G6MD
play,2,1,fordm002,11,BCX,S7/L78S
play,2,1,adelj001,01,CX,9/F89S
play,2,1,thaim001,10,BX,S9/L89.1-2
play,2,1,velaa001,02,S*SS,K
play,3,0,trevj001,11,CBX,8/F78D
play,3,0,kinei001,32,CBBCBB,W
play,3,0,cabro002,00,1X,S9/G3-.1-3
play,3,0,lemad001,00,.X,1/SH/BG23.3-H;1-2
play,3,0,judga001,30,VVVV,IW
play,3,0,benia002,21,BBFX,43/G4
play,3,1,fletd002,12,CFBFX,63/G6M
play,3,1,troum001,02,CSH,HP
play,3,1,ohtas001,02,FCB,WP.1-2
play,3,1,ohtas001,12,FCB.*S,K
play,3,1,rengl001,32,BFS*BBX,6/P4MD
play,4,0,stanm004,21,BCBX,4/L4+
play,4,0,torrg001,22,FBFBFFX,7/F78D
play,4,0,rizza001,11,SBX,HR/F9LD
play,4,0,trevj001,02,CFX,9/F89
play,4,1,wardt002,11,FBX,63/G56S
play,4,1,fordm002,00,X,HR/F9LD
play,4,1,adelj001,00,X,9/F89
play,4,1,thaim001,22,BBCC*S,K
play,5,0,kinei001,32,CBFBBX,D7/L78XD+
play,5,0,cabro002,22,BFBSS,K
play,5,0,lemad001,01,F2X,53/G56S+
play,5,0,judga001,30,VVVV,IW
play,5,0,benia002,21,BFBX,9/F89S
play,5,1,velaa001,12,BSSS,K
play,5,1,fletd002,01,FX,8/L8D
play,5,1,troum001,10,BX,S8/F8
play,5,1,ohtas001,12,S*BFX,HR/F89XD.1-H
play,5,1,rengl001,10,BX,63/G4
play,6,0,stanm004,22,SFBBC,K
play,6,0,torrg001,02,CFX,63/G6
play,6,0,rizza001,32,SSBFBBX,43/G4D+
play,6,1,wardt002,22,FTBBX,63/G6
play,6,1,fordm002,12,CBFS,K
play,6,1,adelj001,22,BBFFFT,K
play,7,0,trevj001,00,,NP
sub,teper001,"Ryan Tepera",1,0,1
play,7,0,trevj001,00,.,NP
sub,sierm002,"Magneuris Sierra",1,7,7
play,7,0,trevj001,21,..BFBX,2/P2F/FL
play,7,0,kinei001,32,BCBBFFS,K
play,7,0,cabro002,32,CFBBBS,K
play,7,1,thaim001,11,SBX,S8/L8
play,7,1,velaa001,00,.,NP
