id,ANA202306090
version,2
info,visteam,SEA
info,hometeam,ANA
info,site,ANA01
info,date,2023/06/09
info,number,0
info,gametype,regular
info,starttime,6:38PM
info,daynight,night
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,belld901
info,ump1b,cuzzp901
info,ump2b,willr901
info,ump3b,rippm901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2023/06/11 09:08:37
info,howscored,unknown
info,pitches,pitches
info,oscorer,johnc701
info,temp,67
info,winddir,rtol
info,windspeed,8
info,fieldcond,unknown
info,precip,none
info,sky,cloudy
info,timeofgame,170
info,attendance,36064
info,wp,webbj002
info,lp,castl003
info,save,estec001
start,crawj002,"J.P. Crawford",0,1,6
start,rodrj007,"Julio Rodriguez",0,2,8
start,frant002,"Ty France",0,3,3
start,kelej001,"Jarred Kelenic",0,4,7
start,hernt002,"Teoscar Hernandez",0,5,9
start,ralec001,"Cal Raleigh",0,6,2
start,suare001,"Eugenio Suarez",0,7,5
start,fordm002,"Mike Ford",0,8,10
start,cabaj001,"Jose Caballero",0,9,4
start,castl003,"Luis Castillo",0,0,1
start,wardt002,"Taylor Ward",1,1,7
start,ohtas001,"Shohei Ohtani",1,2,10
start,troum001,"Mike Trout",1,3,8
start,renda001,"Anthony Rendon",1,4,5
start,rengl001,"Luis Rengifo",1,5,4
start,walsj001,"Jared Walsh",1,6,3
start,monim001,"Mickey Moniak",1,7,9
start,wallc001,"Chad Wallach",1,8,2
start,netoz001,"Zach Neto",1,9,6
start,ohtas001,"Shohei Ohtani",1,0,1
play,1,0,crawj002,31,BBBCB,W
play,1,0,rodrj007,22,FCBF*BS,K
play,1,0,frant002,22,BBSTFX,9/F89D
play,1,0,kelej001,01,C+1X,HR/F89XD.1-H
play,1,0,hernt002,30,BBBB,W
play,1,0,ralec001,30,BBBB,W.1-2
play,1,0,suare001,12,SBST,K
play,1,1,wardt002,11,CBX,63/G6
play,1,1,ohtas001,22,SFBFBX,S5/G5
play,1,1,troum001,32,SFBBFBS,K
play,1,1,renda001,22,BSBFFFX,8/F8
play,2,0,fordm002,12,BSCC,K
play,2,0,cabaj001,22,BBCFX,53/G56
play,2,0,crawj002,11,CBX,5/P5F/FL
play,2,1,rengl001,00,X,43/G4
play,2,1,walsj001,32,CBFBB.S,K
play,2,1,monim001,02,SST,K
play,3,0,rodrj007,22,SBFBC,K
play,3,0,frant002,02,FCFFX,S9/L34D
play,3,0,kelej001,22,BFF*BS,K
play,3,0,hernt002,01,CX,9/L9
play,3,1,wallc001,02,SCC,K
play,3,1,netoz001,12,S.FBS,K
play,3,1,wardt002,20,BBX,E6/G6D.B-1
play,3,1,ohtas001,10,VX,HR/F89XD.1-H(UR);B-H(UR)
play,3,1,troum001,11,BFX,9/F9L
play,4,0,ralec001,32,BC.FFFBBB,W
play,4,0,suare001,20,BBX,4/L4MD+/DP.1X1(43)
play,4,0,fordm002,22,BFBSS,K
play,4,1,renda001,11,BCX,D9/F89XD+
play,4,1,rengl001,01,FX,S8/G4+.2-H
play,4,1,walsj001,12,CSBS,K
play,4,1,monim001,22,BFFFB11>S,K+CS2(26)/DP
play,5,0,cabaj001,32,BBCCBB,W
play,5,0,crawj002,21,BBFX,7/L78
play,5,0,rodrj007,11,B1FH,HP.1-2
play,5,0,frant002,32,CSBFBBX,S8/L8.2-H;1-3
play,5,0,kelej001,00,X,36(1)3/GDP/G3S
play,5,1,wallc001,12,CBS.C,K
play,5,1,netoz001,32,BBSC.BB,W
play,5,1,wardt002,32,BTBC1BFT,K
play,5,1,ohtas001,00,X,D7/L7D+.1-3
play,5,1,troum001,22,SBFB*S,K
play,6,0,hernt002,00,,NP
sub,joycb001,"Ben Joyce",1,0,1
play,6,0,hernt002,31,..BCBBB,W
play,6,0,ralec001,21,CB*B,NP
sub,webbj002,"Jacob Webb",1,0,1
play,6,0,ralec001,32,CB*B.FB.X,6/F8S
play,6,0,suare001,31,BBBFX,5/L5+
play,6,0,fordm002,20,BBX,5/P5S
play,6,1,renda001,01,CH,HP
play,6,1,rengl001,32,BS.SBFBX,5/P5-
play,6,1,walsj001,12,BCSX,5/P5F/FL
play,6,1,monim001,12,SFBX,HR/F89XD.1-H
play,6,1,wallc001,32,SBBBTF.X,2/P2F/FL
play,7,0,cabaj001,11,CBX,5/P5SF/FL
play,7,0,crawj002,22,CCFBBFX,6/F4MD
play,7,0,rodrj007,32,SF.BBBB,W
play,7,0,frant002,21,BFBX,63/G56
play,7,1,netoz001,00,,NP
sub,brasm001,"Matt Brash",0,0,1
play,7,1,netoz001,32,.BFBBS.FB,W
play,7,1,wardt002,12,C1BC>B,SB2
play,7,1,wardt002,22,C1BC>B.*S,K
play,7,1,ohtas001,12,CFF*B>X,31/G3+.2-3
play,7,1,troum001,12,CBTC,K
play,8,0,kelej001,00,,NP
sub,bachs001,"Sam Bachman",1,0,1
play,8,0,kelej001,32,.BBBC.FB,W
play,8,0,hernt002,22,B*BCCX,8/F8XD
play,8,0,ralec001,21,BSBX,13/G1S-.1-2
play,8,0,suare001,00,X,FC/G56+.2X3(65);B-1
play,8,1,renda001,00,,NP
sub,speig001,"Gabe Speier",0,0,1
play,8,1,renda001,32,.CBF.BFBX,53/G5
play,8,1,rengl001,32,BFBBCX,7/F78XD+
play,8,1,walsj001,01,CX,4/P34-
play,9,0,fordm002,00,,NP
sub,estec001,"Carlos Estevez",1,0,1
play,9,0,fordm002,32,.FCBF.BBX,HR/F9D
play,9,0,cabaj001,30,BBBB,W
play,9,0,crawj002,11,CB>B,SB2
play,9,0,crawj002,32,CB>B.FBX,5/P5F/FL
play,9,0,rodrj007,22,BSBFC,K
play,9,0,frant002,01,CX,8/L89XD
data,er,brasm001,0
data,er,castl003,3
data,er,speig001,0
data,er,joycb001,0
data,er,webbj002,0
data,er,bachs001,0
data,er,ohtas001,3
data,er,estec001,1
id,ANA202308040
version,2
info,visteam,SEA
info,hometeam,ANA
info,site,ANA01
info,date,2023/08/04
info,number,0
info,gametype,regular
info,starttime,6:38PM
info,daynight,night
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,johna901
info,ump1b,wolcq901
info,ump2b,valej901
info,ump3b,clemp901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2023/09/21 09:08:20
info,howscored,unknown
info,pitches,pitches
info,oscorer,reevt701
info,temp,82
info,winddir,tocf
info,windspeed,8
info,fieldcond,unknown
info,precip,none
info,sky,sunny
info,timeofgame,182
info,attendance,34479
info,wp,topaj001
info,lp,loper003
info,save,brasm001
start,crawj002,"J.P. Crawford",0,1,6
start,rodrj007,"Julio Rodriguez",0,2,8
start,suare001,"Eugenio Suarez",0,3,5
start,murpt002,"Tom Murphy",0,4,2
start,hernt002,"Teoscar Hernandez",0,5,9
start,frant002,"Ty France",0,6,3
start,ralec001,"Cal Raleigh",0,7,10
start,moord002,"Dylan Moore",0,8,7
start,cabaj001,"Jose Caballero",0,9,4
start,castl003,"Luis Castillo",0,0,1
start,rengl001,"Luis Rengifo",1,1,6
start,ohtas001,"Shohei Ohtani",1,2,10
start,cronc002,"C.J. Cron",1,3,3
start,mousm001,"Mike Moustakas",1,4,5
start,drurb001,"Brandon Drury",1,5,4
start,monim001,"Mickey Moniak",1,6,8
start,renfh001,"Hunter Renfroe",1,7,9
start,thaim001,"Matt Thaiss",1,8,2
start,gricr001,"Randal Grichuk",1,9,7
start,detmr001,"Reid Detmers",1,0,1
play,1,0,crawj002,12,FSBX,S8/F8S
play,1,0,rodrj007,32,BBBCFF1B,W.1-2
play,1,0,suare001,32,CSBBFBF2X,54(1)3/GDP/G56.2-3
play,1,0,murpt002,00,X,S4/G34.3-H
play,1,0,hernt002,00,X,D/F7LD+.1-3
play,1,0,frant002,01,FX,HR/L8XD.3-H;2-H
play,1,0,ralec001,22,CBBT.FX,7/F7D+
play,1,1,rengl001,00,X,HR/F9D
play,1,1,ohtas001,12,BST.T,K
play,1,1,cronc002,21,CBBX,63/G6S
play,1,1,mousm001,12,CSFB*S,K.BX1(23)
play,2,0,moord002,12,BCS.FX,HR/F78XD
play,2,0,cabaj001,02,CFX,S56/G56
play,2,0,crawj002,01,C>C,SB2
play,2,0,crawj002,02,C>C.X,9/L9.2-3
play,2,0,rodrj007,32,BFSFFBFBT,K
play,2,0,suare001,00,X,8/F78
play,2,1,drurb001,02,FF.X,S5/G5
play,2,1,monim001,12,FSBFS,K
com,"ej,thamm001,C,johna901,Check swing"
com,"$Angels hitting coach Marcus Thames ejected by HP umpire Adrian Johnson"
com,"for arguing check swing strike three ruling"
play,2,1,renfh001,22,BBSC.X,S7/G56.1-2
play,2,1,thaim001,12,SBCS,K
play,2,1,gricr001,12,CFFBFS,K
play,3,0,murpt002,12,BSS.S,K
play,3,0,hernt002,32,BSF.BFBFX,D7/G5
play,3,0,frant002,31,BBFBB,W
play,3,0,ralec001,01,SX,5(2)3/GDP/G56
play,3,1,rengl001,10,BX,S8/G4M
play,3,1,ohtas001,31,FBBBB,W.1-2
play,3,1,cronc002,12,F*BFX,S9/G34.2-H;1-3
play,3,1,mousm001,01,FX,HR/F9LD.3-H;1-H
play,3,1,drurb001,00,X,63/G6
play,3,1,monim001,01,SX,7/F7LD
play,3,1,renfh001,10,BX,D7/G5
play,3,1,thaim001,11,BSX,8/F8
play,4,0,moord002,22,FCBF.BX,8/L8XD
play,4,0,cabaj001,02,CC.S,K
play,4,0,crawj002,32,BCFBFFBX,S8/L89
play,4,0,rodrj007,10,BX,HR/F89XD.1-H
play,4,0,suare001,22,CBFBS,K
play,4,1,gricr001,00,X,9/F9S
play,4,1,rengl001,21,CBBX,31/G34
play,4,1,ohtas001,00,X,D7/L78XD+
play,4,1,cronc002,01,FX,63/G6
play,5,0,murpt002,00,,NP
sub,webbj002,"Jacob Webb",1,0,1
play,5,0,murpt002,32,.BCTBBX,9/F89
play,5,0,hernt002,01,FX,S9/F9LS
play,5,0,frant002,32,CF1BBF*B>FFB,W.1-2
play,5,0,ralec001,12,BCS+2C,K
play,5,0,moord002,02,CFS,K
play,5,1,mousm001,31,BBFBX,S8/G4MS
play,5,1,drurb001,32,BFFFBBX,8/L8D+
play,5,1,monim001,00,X,HR/F8XD.1-H
play,5,1,renfh001,11,SBX,63/G6M
play,5,1,thaim001,00,X,8/F89S
play,6,0,cabaj001,00,,NP
sub,marlc001,"Cade Marlowe",0,9,11
play,6,0,marlc001,30,.BBBB,W
play,6,0,crawj002,31,B+1CB1B+1B,W.1-2
play,6,0,rodrj007,00,,NP
sub,leond003,"Dominic Leone",1,0,1
play,6,0,rodrj007,01,.CB,WP.2-3;1-2
play,6,0,rodrj007,31,.CB.BBB,W
play,6,0,suare001,12,BCSX,9/F9LS
play,6,0,murpt002,22,BBCF*S,K
play,6,0,hernt002,10,*BX,54(1)/FO/G56.B-1
play,6,1,gricr001,00,,NP
sub,moord002,"Dylan Moore",0,8,4
play,6,1,gricr001,00,.,NP
sub,marlc001,"Cade Marlowe",0,9,7
play,6,1,gricr001,12,..BFSX,53/G5
play,6,1,rengl001,22,.TSBBX,8/L8D+
play,6,1,ohtas001,32,BFBFFBFS,K
play,7,0,frant002,00,,NP
sub,moorm003,"Matt Moore",1,0,1
play,7,0,frant002,12,.FTFBS,K
play,7,0,ralec001,12,BCFF.S,K
play,7,0,moord002,11,BCX,D7/F78XD+
play,7,0,marlc001,11,BFX,43/G34
play,7,1,cronc002,00,,NP
sub,topaj001,"Justin Topa",0,0,1
play,7,1,cronc002,12,.FBFX,63/G6
play,7,1,mousm001,01,FX,9/F9D
play,7,1,drurb001,00,X,3/G3
play,8,0,crawj002,00,,NP
sub,loper003,"Reynaldo Lopez",1,0,1
play,8,0,crawj002,10,.BX,6/P4MD
play,8,0,rodrj007,11,BFX,D7/L7
play,8,0,suare001,00,X,S8/G6M.2-H
play,8,0,murpt002,32,FBB*BFC,K
play,8,0,hernt002,00,X,9/F9
play,8,1,monim001,00,,NP
sub,sauct001,"Tayler Saucedo",0,0,1
play,8,1,monim001,00,.,NP
sub,escoe001,"Eduardo Escobar",1,6,11
play,8,1,escoe001,02,..CSFC,K
play,8,1,renfh001,32,BCFBBH,HP
play,8,1,thaim001,00,,NP
sub,wallc001,"Chad Wallach",1,8,11
play,8,1,wallc001,00,.X,54(1)3/GDP/G56
play,9,0,frant002,00,,NP
sub,adamj003,"Jordyn Adams",1,6,8
play,9,0,frant002,00,.,NP
sub,wallc001,"Chad Wallach",1,8,2
play,9,0,frant002,00,..,NP
sub,loupa001,"Aaron Loup",1,0,1
play,9,0,frant002,00,...X,63/G56
play,9,0,ralec001,01,CX,HR/F8XD
play,9,0,moord002,32,BBFS.BB,W
play,9,0,marlc001,00,X,3/G3.1-2
com,"$Angels challenged (tag play), call on the field was upheld."
play,9,0,crawj002,11,FBX,8/F78XD+
play,9,1,gricr001,00,,NP
sub,brasm001,"Matt Brash",0,0,1
play,9,1,gricr001,20,.BBX,S7/F7S
play,9,1,rengl001,31,SBBBB,W.1-2
play,9,1,ohtas001,02,SFS,K
play,9,1,cronc002,12,CBS.S,K
play,9,1,mousm001,00,X,7/F7LS
data,er,topaj001,0
data,er,brasm001,0
data,er,castl003,7
data,er,sauct001,0
data,er,loupa001,1
data,er,moorm003,0
data,er,webbj002,0
data,er,loper003,1
data,er,leond003,0
data,er,detmr001,7
