id,CIN202304240
version,2
info,visteam,TEX
info,hometeam,CIN
info,site,CIN09
info,date,2023/04/24
info,number,0
info,gametype,regular
info,starttime,6:40PM
info,daynight,night
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,littw901
info,ump1b,addir901
info,ump2b,merzd901
info,ump3b,barkl901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2023/05/23 09:03:25
info,howscored,unknown
info,pitches,pitches
info,oscorer,sherb701
info,temp,51
info,winddir,tocf
info,windspeed,7
info,fieldcond,unknown
info,precip,none
info,sky,cloudy
info,timeofgame,156
info,attendance,8810
info,wp,diaza004
info,lp,leclj001
info,save,
start,semim001,"Marcus Semien",0,1,4
start,grosr001,"Robbie Grossman",0,2,9
start,lowen001,"Nathaniel Lowe",0,3,3
start,garca005,"Adolis Garcia",0,4,10
start,jungj001,"Josh Jung",0,5,5
start,durae002,"Ezequiel Duran",0,6,6
start,tavel001,"Leody Taveras",0,7,8
start,leons001,"Sandy Leon",0,8,2
start,thomb003,"Bubba Thompson",0,9,7
start,eovan001,"Nathan Eovaldi",0,0,1
start,indij001,"Jonathan India",1,1,4
start,friet001,"TJ Friedl",1,2,7
start,stees001,"Spencer Steer",1,3,5
start,stept001,"Tyler Stephenson",1,4,2
start,fralj001,"Jake Fraley",1,5,9
start,myerw001,"Wil Myers",1,6,3
start,ramoh001,"Henry Ramos",1,7,10
start,senzn001,"Nick Senzel",1,8,8
start,garcj007,"Jose Barrero",1,9,6
start,lodon001,"Nick Lodolo",1,0,1
play,1,0,semim001,22,FBBSC,K
play,1,0,grosr001,12,BCFC,K
play,1,0,lowen001,12,CFBC,K
play,1,1,indij001,01,CX,D7/L7LD
play,1,1,friet001,11,LBB,WP.2-3
play,1,1,friet001,32,LBB.S*BFS,K
play,1,1,stees001,22,BTS*BS,K
play,1,1,stept001,10,BX,E5/TH/G56S.3-H(NR)(UR);B-1
play,1,1,fralj001,10,BX,S4/G4S-.1-2
play,1,1,myerw001,22,BBCSS,K
play,2,0,garca005,02,SSS,K
play,2,0,jungj001,12,CS.FFBX,HR/F7LD
play,2,0,durae002,12,CS.BFX,D9/L89XD
play,2,0,tavel001,10,BX,D9/G3.2-H
play,2,0,leons001,12,CCBS,K
play,2,0,thomb003,10,BX,S5/BG25.2-3
play,2,0,semim001,10,B>X,S7/L7S+.3-H;1-2
play,2,0,grosr001,32,2BB*BCC.>X,9/F9
play,2,1,ramoh001,00,X,6/P6D
play,2,1,senzn001,22,FBBSC,K
play,2,1,garcj007,02,CS.C,K
play,3,0,lowen001,00,X,13/G23
play,3,0,garca005,12,CFBX,S56/G56
play,3,0,jungj001,20,BBX,HR/F89XD.1-H
play,3,0,durae002,10,BX,S7/L78D+
play,3,0,tavel001,31,BS1BBB,W.1-2
play,3,0,leons001,11,C*BX,64(1)3/GDP/G6
play,3,1,indij001,32,BCBBCB,W
play,3,1,friet001,01,CH,HP.1-2
play,3,1,stees001,10,BX,T8/F8XD+.2-H;1-H
play,3,1,stept001,02,CCX,53/G56S.3-H
play,3,1,fralj001,02,FF*S,K
play,3,1,myerw001,32,BCSBBS,K
play,4,0,thomb003,32,BSSBFFF.BFFFB,W
play,4,0,semim001,00,>C,SB2
play,4,0,semim001,02,>C.CC,K
play,4,0,grosr001,02,CFB,WP.2-3
play,4,0,grosr001,12,CFB.FX,S9/L89D.3-H
play,4,0,lowen001,31,CBB1BX,6(1)3/GDP/G6M
play,4,1,ramoh001,02,CSX,S8/G4M
play,4,1,senzn001,11,CBX,54(1)3/GDP/G5
play,4,1,garcj007,20,BBX,63/G6
play,5,0,garca005,00,,NP
sub,farmb001,"Buck Farmer",1,0,1
play,5,0,garca005,00,.X,8/L8XD+
play,5,0,jungj001,22,CBCFBX,43/G4S
play,5,0,durae002,32,CBS.BFBX,S8/L8
play,5,0,tavel001,12,1BLS.>B,SB2
com,"$Reds challenged (tag play), call on the field was upheld."
play,5,0,tavel001,22,1BLS.>B.X,6/P4
play,5,1,indij001,32,CBFBBX,9/L9D
play,5,1,friet001,12,CFBX,S7/L7LS
play,5,1,stees001,01,C>B,SB2
play,5,1,stees001,12,C>B.FFX,8/L8D+.2-3
play,5,1,stept001,32,*B*BS*BCX,7/L7D+
play,6,0,leons001,32,CBBBFC,K
play,6,0,thomb003,02,CTX,3/P3SF/FL
play,6,0,semim001,21,SBBX,53/G56
play,6,1,fralj001,00,X,2/P2
play,6,1,myerw001,10,BX,S7/L7
play,6,1,ramoh001,01,CX,16(1)3/GDP/G4MS
play,7,0,grosr001,00,,NP
sub,gibai001,"Ian Gibaut",1,0,1
play,7,0,grosr001,22,.CBBCFX,53/G56
play,7,0,lowen001,12,CBFS,K
play,7,0,garca005,12,BFSFS,K
play,7,1,senzn001,00,,NP
sub,dunnd001,"Dane Dunning",0,0,1
play,7,1,senzn001,02,.CF.C,K
play,7,1,garcj007,00,X,8/F8XD
play,7,1,indij001,21,BBCX,43/G4
play,8,0,jungj001,00,,NP
sub,simsl001,"Lucas Sims",1,0,1
play,8,0,jungj001,21,.CBBX,8/F89
play,8,0,durae002,22,SS.BBC,K
play,8,0,tavel001,00,X,63/G4M
play,8,1,friet001,00,X,7/L78D
play,8,1,stees001,01,CX,S8/L8D+
play,8,1,stept001,32,CBBBFFB,W.1-2
play,8,1,fralj001,11,BCX,6/P4M
play,8,1,myerw001,00,,NP
sub,fairs001,"Stuart Fairchild",1,4,12
play,8,1,myerw001,31,.BBBCB,W.2-3;1-2
play,8,1,ramoh001,00,,NP
sub,leclj001,"Jose Leclerc",0,0,1
play,8,1,ramoh001,31,.BFB*BB,W.3-H;2-3;1-2
play,8,1,senzn001,32,*BS*BBF>B,W.3-H;2-3;1-2
play,8,1,garcj007,12,ABSF*S,K
play,9,0,leons001,00,,NP
sub,friet001,"TJ Friedl",1,2,8
play,9,0,leons001,00,.,NP
sub,fairs001,"Stuart Fairchild",1,4,7
play,9,0,leons001,00,..,NP
sub,maill001,"Luke Maile",1,8,2
play,9,0,leons001,00,...,NP
sub,diaza004,"Alexis Diaz",1,0,1
play,9,0,leons001,00,....,NP
sub,jankt001,"Travis Jankowski",0,8,11
play,9,0,jankt001,12,.....CBCS,K
play,9,0,thomb003,00,,NP
sub,heimj001,"Jonah Heim",0,9,11
play,9,0,heimj001,02,.SS.X,9/F9D
play,9,0,semim001,31,BBFBX,3/P3SF/FL
play,9,1,indij001,00,,NP
sub,jankt001,"Travis Jankowski",0,8,7
play,9,1,indij001,00,.,NP
sub,heimj001,"Jonah Heim",0,9,2
play,9,1,indij001,30,..BBBB,W
play,9,1,friet001,00,,NP
sub,smitw002,"Will Smith",0,0,1
play,9,1,friet001,10,.B1B,PB.1-2
play,9,1,friet001,32,.B1B.MLBX,S9/L89.2-H(UR)
data,er,dunnd001,2
data,er,smitw002,0
data,er,eovan001,3
data,er,leclj001,0
data,er,gibai001,0
data,er,simsl001,0
data,er,lodon001,6
data,er,farmb001,0
data,er,diaza004,0
