id,NYA202307090
version,2
info,visteam,CHN
info,hometeam,NYA
info,site,NYC21
info,date,2023/07/09
info,number,0
info,gametype,regular
info,starttime,1:35PM
info,daynight,day
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,macka901
info,ump1b,wolfj901
info,ump2b,barbs901
info,ump3b,porta901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2023/07/18 09:03:28
info,howscored,unknown
info,pitches,pitches
info,oscorer,karph701
info,temp,79
info,winddir,tolf
info,windspeed,10
info,fieldcond,unknown
info,precip,none
info,sky,cloudy
info,timeofgame,186
info,attendance,43761
info,wp,merrj001
info,lp,marir001
info,save,alzoa001
start,taucm001,"Mike Tauchman",0,1,10
start,hoern001,"Nico Hoerner",0,2,6
start,happi001,"Ian Happ",0,3,7
start,suzus001,"Seiya Suzuki",0,4,9
start,bellc002,"Cody Bellinger",0,5,8
start,morec001,"Christopher Morel",0,6,4
start,younj003,"Jared Young",0,7,3
start,wisdp001,"Patrick Wisdom",0,8,5
start,barnt001,"Tucker Barnhart",0,9,2
start,hendk001,"Kyle Hendricks",0,0,1
start,torrg001,"Gleyber Torres",1,1,4
start,stanm004,"Giancarlo Stanton",1,2,9
start,rizza001,"Anthony Rizzo",1,3,3
start,badeh001,"Harrison Bader",1,4,8
start,donaj001,"Josh Donaldson",1,5,10
start,mckib001,"Billy McKinney",1,6,7
start,lemad001,"DJ LeMahieu",1,7,5
start,volpa001,"Anthony Volpe",1,8,6
start,higak001,"Kyle Higashioka",1,9,2
start,germd001,"Domingo German",1,0,1
play,1,0,taucm001,02,CC.S,K
play,1,0,hoern001,01,SX,53/G5
play,1,0,happi001,12,CFBS,K
play,1,1,torrg001,21,VBCX,S9/L9LS
com,"ej,rossd001,M,macka901,Balls and strikes"
com,"$Cubs manager David Ross ejected by HP umpire Alex MacKay"
com,"for arguing balls and strikes"
play,1,1,stanm004,21,BB.CX,63/G6.1-2
play,1,1,rizza001,12,F.S*BX,D9/L89D.2-H
play,1,1,badeh001,00,X,3/P3
play,1,1,donaj001,12,SF*BX,2/P2F/FL
play,2,0,suzus001,01,CX,53/G56
play,2,0,bellc002,31,BSBBB,W
play,2,0,morec001,22,*BFS*B1X,64(1)3/GDP/G6M
play,2,1,mckib001,12,CBFX,8/L8D
play,2,1,lemad001,01,CX,S7/G56
play,2,1,volpa001,22,CBF*BX,64(1)/FO/G6.B-1
play,2,1,higak001,01,CX,S9/L3D.1-3
play,2,1,torrg001,02,CC1X,43/G34
play,3,0,younj003,12,BFFX,7/F7LSF/FL
play,3,0,wisdp001,22,BBFTS,K
play,3,0,barnt001,02,CSS,K
play,3,1,stanm004,22,BFSBFT,K
play,3,1,rizza001,12,B.CFF*S,K
play,3,1,badeh001,22,BBSFX,S8/G4M
play,3,1,donaj001,01,1>F>B,SB2
play,3,1,donaj001,32,1>F>B.SB*BX,S46/G4.2-3
play,3,1,mckib001,10,BX,5/P56
play,4,0,taucm001,32,BFF.BBFS,K
play,4,0,hoern001,01,CX,53/G56
play,4,0,happi001,22,CBFBC,K
play,4,1,lemad001,02,C.CX,13/G1
play,4,1,volpa001,12,CBFX,63/G6
play,4,1,higak001,22,CBSBS,K
play,5,0,suzus001,12,CBSX,HR/F7D
play,5,0,bellc002,00,.X,8/F8XD
play,5,0,morec001,02,CCS,K
play,5,0,younj003,00,X,8/F8S
play,5,1,torrg001,11,CBX,S5/G56
play,5,1,stanm004,11,BF>B,SB2
play,5,1,stanm004,32,BF>B.BFC,K
play,5,1,rizza001,11,BFX,8/L8XD
play,5,1,badeh001,01,FX,8/F8D
play,6,0,wisdp001,30,BBBB,W
play,6,0,barnt001,02,1FC>S,K+SB2
play,6,0,taucm001,00,X,9/L9D.2-3
play,6,0,hoern001,12,BFSS,K
play,6,1,donaj001,12,FBFS,K
play,6,1,mckib001,22,CFBBX,S8/L8
play,6,1,lemad001,12,CBFX,8/F89D
play,6,1,volpa001,10,1BX,HR/F7LD.1-H
play,6,1,higak001,02,FC.X,HR/F9D
play,6,1,torrg001,00,,NP
sub,merrj001,"Julian Merryweather",0,0,1
play,6,1,torrg001,22,.CBSBX,43/G4
play,7,0,happi001,32,BBBCFB,W
play,7,0,suzus001,00,,NP
sub,hamii001,"Ian Hamilton",1,0,1
play,7,0,suzus001,22,.BCSF.BX,3/P3F/FL
play,7,0,bellc002,20,B*BX,S9/L89D+.1-2
play,7,0,morec001,11,FBX,FC4/G4.2-3;1-2(E4);B-1
play,7,0,younj003,00,,NP
sub,kahnt001,"Tommy Kahnle",1,0,1
play,7,0,younj003,32,.SBFFBBX,31/G3.3-H(UR);2-3;1-2
play,7,0,wisdp001,00,,NP
sub,gomey001,"Yan Gomes",0,8,11
play,7,0,gomey001,02,.FSFX,S8/L8.3-H(UR);2-H(UR)
play,7,0,barnt001,00,,NP
sub,mastm001,"Miles Mastrobuoni",0,8,12
play,7,0,barnt001,22,.FB1BF1X,63/G6M
play,7,1,stanm004,00,,NP
sub,mastm001,"Miles Mastrobuoni",0,8,5
play,7,1,stanm004,30,.BBBB,W
play,7,1,rizza001,12,.CC*BFX,9/L9
play,7,1,badeh001,02,CS*S,K
play,7,1,donaj001,32,BSSBB>*B,W.1-2
play,7,1,mckib001,22,FCF*BBX,7/F7LD
play,8,0,taucm001,00,,NP
sub,marir001,"Ron Marinaccio",1,0,1
play,8,0,taucm001,01,.CX,S8/L8D+
play,8,0,hoern001,30,BBBB,W.1-2
play,8,0,happi001,31,BB*BCB,W.2-3;1-2
play,8,0,suzus001,00,,NP
sub,holmc001,"Clay Holmes",1,0,1
play,8,0,suzus001,00,.,NP
sub,cabro002,"Oswaldo Cabrera",1,6,7
play,8,0,suzus001,22,..CB*BFX,9/SF/L89.3-H;2-3
play,8,0,bellc002,00,B,WP.3-H(NR);1-2
play,8,0,bellc002,12,B.CF.FFFC,K
play,8,0,morec001,21,BCBN,BK.2-3
play,8,0,morec001,21,BCBN.X,63/G6
play,8,1,lemad001,00,,NP
sub,fulmm001,"Michael Fulmer",0,0,1
play,8,1,lemad001,32,.CBBBCFX,3/P3F/FL
play,8,1,volpa001,12,BCSFC,K
play,8,1,higak001,12,FBFX,S7/L78
play,8,1,torrg001,32,CFB*BFB.>F>X,6/L6D
play,9,0,younj003,00,,NP
sub,ramin003,"Nick Ramirez",1,0,1
play,9,0,younj003,22,.CBCBX,S1/G3
com,"$Cubs challenged (play at 1st), call on the field was overturned."
play,9,0,mastm001,00,>B,SB2
play,9,0,mastm001,10,>B.X,FC/SH/BG2-.2-3;B-1
play,9,0,barnt001,12,1LCBX,D9/L9L.3-H;1-3
play,9,0,taucm001,32,BCBFBFX,43/G4MS
play,9,0,hoern001,00,,NP
sub,schmc002,"Clarke Schmidt",1,0,1
play,9,0,hoern001,02,.CFFS,K
play,9,0,happi001,22,BSFBX,43/G34
play,9,1,stanm004,00,,NP
sub,alzoa001,"Adbert Alzolay",0,0,1
play,9,1,stanm004,11,.BCX,3/G3
play,9,1,rizza001,00,X,8/F8S
play,9,1,badeh001,11,CBX,8/L8D
data,er,alzoa001,0
data,er,fulmm001,0
data,er,merrj001,0
data,er,hendk001,4
data,er,germd001,1
data,er,schmc002,0
data,er,hamii001,0
data,er,kahnt001,0
data,er,holmc001,0
data,er,marir001,2
data,er,ramin003,1
